"Timestamp","Din TBF","Jordnötens nummer","Betygsätt totalupplevelsen","Salt","Knaprig","Rostad","Flottig","Kommentar"
"2016-09-24 18:26:24 +0200","DDR","1","5","2","4","1","1","Den med skal "
"2016-09-24 18:26:34 +0200","ARN","20","3","4","3","5","5",""
"2016-09-24 18:26:52 +0200","MMX","16","3","1","2","4","5",""
"2016-09-24 18:26:58 +0200","ATG","19","6","6","5","5","4",""
"2016-09-24 18:27:00 +0200","DDR","2","5","3","3","3","2",""
"2016-09-24 18:27:14 +0200","ARN","12","6","5","6","6","4",""
"2016-09-24 18:27:19 +0200","GIS","13","2","3","4","3","4","Inte så god"
"2016-09-24 18:28:01 +0200","ARN","13","6","4","4","4","4",""
"2016-09-24 18:28:16 +0200","JPY","18","5","6","3","5","6",""
"2016-09-24 18:28:39 +0200","ARN","4","5","3","4","3","5",""
"2016-09-24 18:29:03 +0200","GIS","15","3","3","5","6","3","Bra konsistens, smakade inte så mycket."
"2016-09-24 18:29:18 +0200","ATG","11","3","6","4","2","2",""
"2016-09-24 18:29:38 +0200","NPV","3","4","4","3","3","3","Tråkig"
"2016-09-24 18:29:43 +0200","ARN","6","3","2","3","3","5",""
"2016-09-24 18:29:59 +0200","GIS","20","4","3","4","3","6","Ok"
"2016-09-24 18:30:00 +0200","OSV","10","5","5","5","5","4",""
"2016-09-24 18:30:20 +0200","JPY","6","5","1","5","2","2",""
"2016-09-24 18:30:22 +0200","ATG","17","7","5","7","6","5",""
"2016-09-24 18:30:29 +0200","DDR","3","7","5","5","4","2","Bäst hittills "
"2016-09-24 18:30:32 +0200","ARN","18","5","5","6","4","5",""
"2016-09-24 18:31:04 +0200","FTV","6","6","1","6","6","1","Mycket god"
"2016-09-24 18:31:23 +0200","HVB","5","7","4","6","3","4",""
"2016-09-24 18:31:37 +0200","NPV","2","5","4","6","6","6","Mycket karaktär"
"2016-09-24 18:31:37 +0200","OSV","8","3","6","4","5","7",""
"2016-09-24 18:32:29 +0200","JPY","4","6","2","5","3","2","Känsla av annan olja - positivt"
"2016-09-24 18:32:44 +0200","NPV","8","6","5","6","3","7","Spännande!"
"2016-09-24 18:33:09 +0200","OSV","5","3","5","3","4","5",""
"2016-09-24 18:33:29 +0200","ATG","15","4","2","6","5","1",""
"2016-09-24 18:33:45 +0200","HVB","6","7","1","7","3","3",""
"2016-09-24 18:34:16 +0200","NPV","5","2","3","3","1","5","Näh"
"2016-09-24 18:34:27 +0200","LED","6","4","2","5","4","5","Bra krisp, nästan lite söt i smaken"
"2016-09-24 18:34:52 +0200","JPY","13","7","3","6","5","5","Bra skit!"
"2016-09-24 18:34:55 +0200","GIS","18","5","6","4","3","5","God"
"2016-09-24 18:35:01 +0200","ATG","20","4","3","7","6","6",""
"2016-09-24 18:35:02 +0200","DDR","5","3","5","4","3","3",""
"2016-09-24 18:35:32 +0200","HVB","18","6","6","5","2","4",""
"2016-09-24 18:35:34 +0200","OSV","16","3","5","6","4","3",""
"2016-09-24 18:35:54 +0200","DDR","6","4","4","3","4","2",""
"2016-09-24 18:36:13 +0200","FTV","4","4","2","5","5","3","God men lite för lite smak."
"2016-09-24 18:36:23 +0200","LED","18","7","6","6","5","4","Booooom! Lite väl salt men ojojoj en sådan nöt!"
"2016-09-24 18:36:27 +0200","GIS","6","3","2","4","3","5","För lite salt"
"2016-09-24 18:36:37 +0200","PSI","7","5","3","4","5","2",""
"2016-09-24 18:36:59 +0200","FTV","9","4","2","4","5","2",""
"2016-09-24 18:37:32 +0200","DDR","8","6","4","3","2","5","Vinäger! "
"2016-09-24 18:37:35 +0200","ATG","9","5","2","3","2","5",""
"2016-09-24 18:37:51 +0200","FTV","13","6","4","5","6","3",""
"2016-09-24 18:37:58 +0200","GIS","9","3","2","3","2","4","Menlös"
"2016-09-24 18:38:59 +0200","PSI","19","5","6","6","6","6",""
"2016-09-24 18:39:07 +0200","HVB","15","7","2","5","4","4",""
"2016-09-24 18:39:26 +0200","LED","7","4","3","3","4","4","Mäh..."
"2016-09-24 18:39:28 +0200","KTB","1","5","3","4","2","5","Fin"
"2016-09-24 18:39:48 +0200","DDR","7","2","2","4","2","3","Neutral "
"2016-09-24 18:39:51 +0200","HVB","20","7","3","6","6","5",""
"2016-09-24 18:40:07 +0200","NPV","7","1","1","1","1","3","Trist trist"
"2016-09-24 18:40:14 +0200","IFK","1","3","1","4","1","1",""
"2016-09-24 18:40:21 +0200","JPY","14","7","4","6","6","2","Fräsch, bra nöt. En vinnare!"
"2016-09-24 18:40:30 +0200","GIS","12","6","5","6","6","2","Mums"
"2016-09-24 18:40:30 +0200","HVB","9","6","3","5","6","5",""
"2016-09-24 18:40:42 +0200","LED","19","5","6","5","4","4",""
"2016-09-24 18:41:02 +0200","KTB","15","4","3","6","4","3","Snäll"
"2016-09-24 18:41:18 +0200","FTV","12","3","5","6","6","3","Konstig"
"2016-09-24 18:41:21 +0200","NPV","19","3","4","5","6","7","Helt ok!"
"2016-09-24 18:41:25 +0200","HVB","12","7","2","5","7","3",""
"2016-09-24 18:41:52 +0200","KTB","20","6","5","5","4","5","Knaprig"
"2016-09-24 18:41:54 +0200","GIS","14","5","4","5","6","3","God"
"2016-09-24 18:42:26 +0200","FTV","14","2","5","6","6","2","För mycket krydda!"
"2016-09-24 18:42:29 +0200","LED","11","6","5","5","4","4","Crisp!"
"2016-09-24 18:42:37 +0200","KTB","9","6","5","4","6","5","Rostad"
"2016-09-24 18:42:49 +0200","HVB","10","7","6","5","7","4",""
"2016-09-24 18:43:20 +0200","IFK","4","4","1","4","4","2",""
"2016-09-24 18:43:25 +0200","HVB","2","6","6","5","6","5",""
